Record Number,Fiscal Year,Department Name,Sub-Unit of Department,EEO Category Name,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year
13449,2013,Iowa Veterans Home,,Professional,Voluntary Resignation,Permanent (Merit),014,30,REGISTERED NURSE,01/03/2013,01/03/2013,false
13450,2013,"Administrative Services, Department of",,Professional,Retirement,Permanent (Merit),014,26,INFO TECH SPECIALIST 2,01/04/2013,01/17/2013,false
13451,2013,"Corrections, Department of",Oakdale,Professional,Voluntary Resignation,Permanent (Merit),014,26,CLINICAL DIETITIAN,01/04/2013,01/17/2013,false
13452,2013,"Corrections, Department of",Fort Dodge,Official/Administrator,Disability/Medical,Permanent (Merit),000,34,CORRECTIONAL SECURITY DIRECTOR,01/04/2013,01/17/2013,false
13453,2013,"Education, Department of",,Official/Administrator,Voluntary Resignation,Permanent (Nonmerit),000,38,PUBLIC SERVICE EXECUTIVE 4,01/04/2013,01/17/2013,false
13454,2013,Iowa Workforce Development,,Professional,Voluntary Resignation,Permanent (Merit),014,26,FIELD AUDITOR,01/04/2013,01/17/2013,false
13455,2013,Governor/Lt. Governor's Office,,,Voluntary Resignation,Permanent (Nonmerit),,,,01/04/2013,01/17/2013,false
13456,2013,"Human Services, Department of",Field Operations,Administrative Support,Involuntary Dismissal,Permanent (Merit),014,14,CLERK-ADVANCED,01/04/2013,01/17/2013,false
13457,2013,"Human Services, Department of",Clarinda,Professional,Voluntary Resignation,Permanent (Merit),009,27,SOCIAL WORKER 3,01/04/2013,01/17/2013,false
13459,2013,"Public Safety, Department of",,Protective Services - Sworn,Retirement,Permanent (Nonmerit),000,31,SERGEANT,01/04/2013,01/17/2013,false
13460,2013,Treasurer of State,,Professional,Involuntary Dismissal,Permanent (Nonmerit),000,21,ADMIN ASSISTANT 1,01/04/2013,01/17/2013,false
13461,2013,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),014,26,PROGRAM PLANNER 2,01/04/2013,01/17/2013,false
13463,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),009,27,SOCIAL WORKER 3,01/07/2013,01/17/2013,false
13462,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),009,25,SOCIAL WORKER 2,01/07/2013,01/17/2013,false
13464,2013,Iowa Veterans Home,,Technician,Involuntary Dismissal,Permanent (Merit),014,26,LICENSED PRACTICAL NURSE,01/08/2013,01/17/2013,false
13465,2013,"Commerce, Department of",Alcoholic Beverages,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,16+13.5%,WAREHOUSE OPERATIONS WORKER,01/09/2013,01/17/2013,false
13466,2013,Iowa Workforce Development,,Administrative Support,Involuntary Layoff,Permanent (Merit),014,20,SECRETARY 2,01/09/2013,01/17/2013,false
13468,2013,"Public Health, Department of",,Professional,Retirement,Permanent (Merit),014,26,INFO TECH SPECIALIST 2,01/09/2013,01/17/2013,false
13469,2013,"Public Safety, Department of",,Professional,Involuntary Dismissal,Permanent (Merit),009,32,CRIMINALIST,01/09/2013,01/17/2013,false
13470,2013,"Revenue, Department of",,Administrative Support,Involuntary Dismissal,Permanent (Merit),014,14,CLERK-ADVANCED,01/09/2013,01/17/2013,false
13471,2013,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,29,ASST AUDITOR 2,01/10/2013,01/17/2013,false
13472,2013,"Corrections, Department of",Mt Pleasant,Professional,Retirement,Permanent (Merit),014,30,REGISTERED NURSE,01/10/2013,01/17/2013,false
13473,2013,"Public Safety, Department of",,Administrative Support,Retirement,Permanent (Merit),014,22,COMMUNICATIONS CENTER SPEC 2,01/10/2013,01/17/2013,false
13474,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/10/2013,01/17/2013,false
13476,2013,Iowa Workforce Development,,Professional,Involuntary Dismissal,Permanent (Merit),014,24,WORKFORCE ADVISOR,01/11/2013,01/17/2013,false
13475,2013,Iowa Workforce Development,,Professional,Voluntary Resignation,Permanent (Merit),014,30,WORKFORCE PROGRAM COORD,01/11/2013,01/17/2013,false
13477,2013,Iowa Communications Network,,Official/Administrator,Voluntary Resignation,Permanent (Nonmerit),000,41,PUBLIC SERVICE EXECUTIVE 5,01/11/2013,01/17/2013,false
13478,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),009,24,CHILD SUPPORT RECOVERY OFFICER,01/11/2013,01/17/2013,false
13479,2013,"Human Services, Department of",Cherokee CCUSO,Protective Services - Sworn,Abandoned Job,Permanent (Merit),014,23,PSYCHIATRIC SECURITY SPECIALIST,01/11/2013,01/17/2013,false
13481,2013,"Public Health, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,29,STATISTICAL RESEARCH ANALYST 3,01/11/2013,01/17/2013,false
13484,2013,Iowa Veterans Home,,Service/Maintenance,Disability/Medical,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/11/2013,01/17/2013,false
13483,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,01/11/2013,01/17/2013,false
13482,2013,Iowa Veterans Home,,Service/Maintenance,Abandoned Job,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/11/2013,01/17/2013,false
13485,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,01/12/2013,01/17/2013,false
13486,2013,"Human Services, Department of",Woodward,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,18,ACTIVITIES AIDE,01/14/2013,01/17/2013,false
13488,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,01/14/2013,01/17/2013,false
13489,2013,"Natural Resources, Department of",,Professional,Death,Permanent (Merit),014,32,INFO TECH SPECIALIST 4,01/16/2013,01/17/2013,false
13490,2013,Agriculture and Land Stewardship,,Official/Administrator,Retirement,Permanent (Merit),000,29,PUBLIC SERVICE EXECUTIVE 1,01/17/2013,01/17/2013,false
13492,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/17/2013,01/17/2013,false
13491,2013,"Corrections, Department of",Newton,Skilled Craft,Retirement,Permanent (Merit),014,23+13.5%,POWER PLANT ENGINEER 4,01/17/2013,01/17/2013,false
13493,2013,Iowa Workforce Development,,Official/Administrator,Retirement,Permanent (Merit),014,29,EXEC OFF 1,01/17/2013,01/17/2013,false
13494,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),014,32,INFO TECH SPECIALIST 4,01/17/2013,01/17/2013,false
13495,2013,"Natural Resources, Department of",,Technician,Retirement,Permanent (Merit),014,23,NATURAL RESOURCES TECHNICIAN 2,01/17/2013,01/17/2013,false
13496,2013,"Public Safety, Department of",,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,01/17/2013,01/17/2013,false
13497,2013,"Revenue, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,01/17/2013,01/17/2013,false
13498,2013,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Disability/Medical,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/18/2013,01/31/2013,false
13499,2013,"Human Services, Department of",General Administration,Official/Administrator,Voluntary Resignation,Permanent (Merit),000,37,INFO TECH ADMIN 2,01/18/2013,01/31/2013,false
13500,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,01/19/2013,01/31/2013,false
13501,2013,"Human Services, Department of",Independence,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/20/2013,01/31/2013,false
13502,2013,Law Enforcement Academy,,Professional,Involuntary Dismissal,Permanent (Merit),000,30,LAW ENFORCEMENT INSTRUCTOR,01/22/2013,01/31/2013,false
13503,2013,"Administrative Services, Department of",,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,13,CUSTODIAL WORKER,01/23/2013,01/31/2013,false
13504,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/23/2013,01/31/2013,false
13506,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Involuntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/23/2013,01/31/2013,false
13505,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Involuntary Dismissal,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/23/2013,01/31/2013,false
13507,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Involuntary Dismissal,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/23/2013,01/31/2013,false
13508,2013,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),000,24,RESIDENT TREATMENT SUPERVISOR,01/23/2013,01/31/2013,false
13509,2013,Agriculture and Land Stewardship,,Official/Administrator,Retirement,Permanent (Merit),000,35,AGRICULTURE PROGRAM MGR 3,01/24/2013,01/31/2013,false
13510,2013,"Human Services, Department of",Woodward,Professional,Voluntary Resignation,Permanent (Merit),014,28,OCCUPATIONAL THERAPIST 1,01/24/2013,01/31/2013,false
13511,2013,Homeland Security and Emergency Management,,Professional,Voluntary Resignation,Permanent (Merit),014,30,DISASTER PROJECT SPECIALIST 2,01/24/2013,01/31/2013,false
13512,2013,Iowa Ethics & Campaign Disclosure Board,,Professional,Voluntary Resignation,Permanent (Merit),014,26,FIELD AUDITOR,01/25/2013,01/31/2013,false
13513,2013,"Corrections, Department of",Clarinda,Technician,Retirement,Permanent (Merit),000,24,HUMAN RESOURCES ASSOCIATE,01/25/2013,01/31/2013,false
13514,2013,"Human Services, Department of",Field Operations,Technician,Retirement,Permanent (Merit),009,24,INCOME MAINT WORKER 2,01/25/2013,01/31/2013,false
13515,2013,"Public Defense, Department of",,Protective Services - Sworn,Retirement,Permanent (Merit),000,29,AIRPORT ASSISTANT FIRE CHIEF,01/25/2013,01/31/2013,false
13516,2013,Iowa Veterans Home,,Skilled Craft,Involuntary Dismissal,Permanent (Merit),014,19+13.5%,MAINTENANCE REPAIRER,01/27/2013,01/31/2013,false
13517,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Involuntary Dismissal,Probationary (Merit),014,23,CORRECTIONAL OFFICER,01/28/2013,01/31/2013,false
13518,2013,"Public Safety, Department of",,Administrative Support,Voluntary Resignation,Probationary (Merit),014,22,COMMUNICATIONS CENTER SPEC 2,01/28/2013,01/31/2013,false
13519,2013,"Corrections, Department of",Mitchellville,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/29/2013,01/31/2013,false
13520,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),009,25,SOCIAL WORKER 2,01/29/2013,01/31/2013,false
13521,2013,"State Public Defender, Office of",,Professional,Voluntary Resignation,Permanent (Nonmerit),014,26,INVESTIGATOR 2,01/29/2013,01/31/2013,false
13522,2013,Iowa Finance Authority,,Administrative Support,Voluntary Resignation,Permanent (Nonmerit),014,10,UTILITY OFFICE WORKER,01/30/2013,01/31/2013,false
13523,2013,"Human Services, Department of",Glenwood,Skilled Craft,Involuntary Dismissal,Permanent (Merit),000,25,MAINTENANCE REPAIRS SUPV,01/30/2013,01/31/2013,false
13525,2013,"Administrative Services, Department of",,Official/Administrator,Retirement,Permanent (Merit),000,40,INFO TECH ADMIN 3,01/31/2013,01/31/2013,false
13526,2013,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,26,ASST AUDITOR 1,01/31/2013,01/31/2013,false
13527,2013,"Corrections, Department of",Fort Madison,Professional,Retirement,Permanent (Merit),014,30,REGISTERED NURSE,01/31/2013,01/31/2013,false
13528,2013,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,01/31/2013,01/31/2013,false
13529,2013,"Corrections, Department of",Mt Pleasant,Protective Services - Sworn,Retirement,Permanent (Merit),000,27,CORRECTIONAL SUPERVISOR 1,01/31/2013,01/31/2013,false
13530,2013,Iowa Workforce Development,,Official/Administrator,Retirement,Permanent (Merit),000,32,PUBLIC SERVICE EXECUTIVE 2,01/31/2013,01/31/2013,false
13531,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,25,SOCIAL WORKER 2,01/31/2013,01/31/2013,false
13533,2013,"Human Services, Department of",Field Operations,Technician,Retirement,Permanent (Merit),009,24,INCOME MAINT WORKER 2,01/31/2013,01/31/2013,false
13534,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,25,SOCIAL WORKER 2,01/31/2013,01/31/2013,false
13532,2013,"Human Services, Department of",Field Operations,Official/Administrator,Voluntary Resignation,Permanent (Merit),000,33,SOCIAL WORK ADMINISTRATOR,01/31/2013,01/31/2013,false
13535,2013,"Human Services, Department of",Glenwood,Professional,Retirement,Permanent (Merit),014,25,ACTIVITIES SPECIALIST 1,01/31/2013,01/31/2013,false
13536,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,01/31/2013,01/31/2013,false
13539,2013,"Public Safety, Department of",,Protective Services - Sworn,Involuntary Dismissal,Permanent (Nonmerit),007,29,TROOPER 2,01/31/2013,01/31/2013,false
13540,2013,Iowa Veterans Home,,Professional,Voluntary Resignation,Permanent (Merit),014,26,INFO TECH SPECIALIST 2,01/31/2013,01/31/2013,false
13541,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,01/31/2013,01/31/2013,false
13542,2013,"Administrative Services, Department of",,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,14,AUTOMOTIVE SERVICE WORKER,02/01/2013,02/14/2013,false
13543,2013,Attorney General,,Administrative Support,Involuntary Dismissal,Permanent (Nonmerit),000,22,LEGAL SECRETARY 3,02/01/2013,02/14/2013,false
13544,2013,"Corrections, Department of",Oakdale,Professional,Voluntary Resignation,Probationary (Nonmerit),000,55(-13.0),PHYSICIAN,02/01/2013,02/14/2013,false
13545,2013,"Corrections, Department of",Mitchellville,Protective Services - Sworn,Abandoned Job,Permanent (Merit),014,23,CORRECTIONAL OFFICER,02/01/2013,02/14/2013,false
13546,2013,"Education, Department of",Vocational Rehabilitation,Professional,Voluntary Resignation,Permanent (Nonmerit),009,28,REHABILITATION COUNSELOR,02/01/2013,02/14/2013,false
13548,2013,"Human Services, Department of",Field Operations,Technician,Return to Recall,Permanent (Merit),009,24,INCOME MAINT WORKER 2,02/01/2013,02/14/2013,false
13547,2013,"Human Services, Department of",Field Operations,Official/Administrator,Involuntary Dismissal,Probationary (Merit),000,30,SOCIAL WORK SUPERVISOR,02/01/2013,02/14/2013,false
13549,2013,"State Public Defender, Office of",,Professional,Voluntary Resignation,Permanent (Nonmerit),014,29,PUBLIC DEFENDER 1,02/01/2013,02/14/2013,false
13550,2013,Homeland Security and Emergency Management,,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,02/01/2013,02/14/2013,false
13551,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Probationary (Merit),014,13,FOOD SERVICE WORKER,02/04/2013,02/14/2013,false
13552,2013,Iowa Veterans Home,,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/04/2013,02/14/2013,false
13553,2013,"Corrections, Department of",Fort Dodge,Protective Services - Sworn,Disability/Medical,Permanent (Merit),014,23,CORRECTIONAL OFFICER,02/05/2013,02/14/2013,false
13554,2013,"Human Services, Department of",Field Operations,Professional,Disability/Medical,Permanent (Merit),014,26,INFO TECH SPECIALIST 2,02/05/2013,02/14/2013,false
13556,2013,Iowa Veterans Home,,Technician,Involuntary Dismissal,Probationary (Merit),014,26,LICENSED PRACTICAL NURSE,02/05/2013,02/14/2013,false
13555,2013,Iowa Veterans Home,,Service/Maintenance,Abandoned Job,Probationary (Merit),014,13,FOOD SERVICE WORKER,02/05/2013,02/14/2013,false
13557,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Disability/Medical,Permanent (Merit),014,23,CORRECTIONAL OFFICER,02/06/2013,02/14/2013,false
13558,2013,"Public Safety, Department of",,Protective Services - Sworn,Involuntary Dismissal,Permanent (Nonmerit),007,27,SPECIAL AGENT 1,02/06/2013,02/14/2013,false
13559,2013,"Commerce, Department of",Alcoholic Beverages,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,18+13.5%,TRANSPORT DRIVER,02/07/2013,02/14/2013,false
13560,2013,"Education, Department of",Vocational Rehabilitation,Technician,Voluntary Resignation,Permanent (Nonmerit),009,27,DISABILITY EXAMINER,02/07/2013,02/14/2013,false
13561,2013,"Aging, Iowa Department on",,Professional,Voluntary Resignation,Permanent (Merit),014,29,PROGRAM PLANNER 3,02/07/2013,02/14/2013,false
13562,2013,Iowa Veterans Home,,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,15,SECURITY GUARD 1,02/07/2013,02/14/2013,false
13563,2013,"Administrative Services, Department of",,Professional,Retirement,Permanent (Merit),014,35,INFO TECH SPECIALIST 5,02/08/2013,02/14/2013,false
13564,2013,"Education, Department of",,Professional,Voluntary Resignation,Permanent (Nonmerit),000,32,EDUCATION PROGRAM CONSULTANT,02/08/2013,02/14/2013,false
13565,2013,"Education, Department of",Vocational Rehabilitation,Administrative Support,Involuntary Dismissal,Permanent (Merit),014,15,TYPIST-ADVANCED,02/08/2013,02/14/2013,false
13566,2013,"Human Services, Department of",Field Operations,Administrative Support,Voluntary Resignation,Permanent (Merit),014,14,CLERK-ADVANCED,02/08/2013,02/14/2013,false
13567,2013,"Inspections & Appeals, Department of",,Professional,Voluntary Resignation,Permanent (Merit),009,27,ENVIRONMENTAL SPECIALIST,02/08/2013,02/14/2013,false
13568,2013,"Public Health, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,30,INFO SPECIALIST 3,02/08/2013,02/14/2013,false
13569,2013,Iowa Veterans Home,,Technician,Voluntary Resignation,Permanent (Merit),009,25,MEDICAL TECHNOLOGIST,02/08/2013,02/14/2013,false
13570,2013,"Public Safety, Department of",,Protective Services - Sworn,Voluntary Resignation,Permanent (Nonmerit),007,29,TROOPER 2,02/10/2013,02/14/2013,false
13571,2013,"Human Services, Department of",Woodward,Administrative Support,Voluntary Resignation,Permanent (Merit),014,14,CLERK-ADVANCED,02/11/2013,02/14/2013,false
13572,2013,"State Public Defender, Office of",,Administrative Support,Involuntary Dismissal,Permanent (Merit),014,20,SECRETARY 2,02/11/2013,02/14/2013,false
13573,2013,"Human Services, Department of",Cherokee CCUSO,Protective Services - Sworn,Involuntary Resignation,Permanent (Merit),014,23,PSYCHIATRIC SECURITY SPECIALIST,02/12/2013,02/14/2013,false
13574,2013,"Public Defense, Department of",,Service/Maintenance,Death,Permanent (Merit),014,13,CUSTODIAL WORKER,02/12/2013,02/14/2013,false
13575,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,02/12/2013,02/14/2013,false
13576,2013,"Education, Department of",Vocational Rehabilitation,Technician,Involuntary Dismissal,Permanent (Nonmerit),009,27,DISABILITY EXAMINER,02/13/2013,02/14/2013,false
13577,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/13/2013,02/14/2013,false
13578,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/13/2013,02/14/2013,false
13579,2013,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),000,27,CORRECTIONAL SUPERVISOR 1,02/14/2013,02/14/2013,false
13581,2013,"Human Services, Department of",Toledo Juvenile Home,Professional,Involuntary Dismissal,Probationary (Merit),000,27(-2.0),EDUCATOR,02/14/2013,02/14/2013,false
13580,2013,"Human Services, Department of",Toledo Juvenile Home,Professional,Involuntary Dismissal,Probationary (Merit),000,27(-2.0),EDUCATOR,02/14/2013,02/14/2013,false
13582,2013,Economic Development Authority,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,28,ADMIN ASSISTANT 3,02/15/2013,02/28/2013,false
13583,2013,"Human Services, Department of",Glenwood,Professional,Voluntary Resignation,Permanent (Merit),014,30,REGISTERED NURSE,02/15/2013,02/28/2013,false
13584,2013,"Corrections, Department of",Mitchellville,Professional,Voluntary Resignation,Permanent (Merit),009,28,CORRECTIONAL COUNSELOR,02/16/2013,02/28/2013,false
13585,2013,Civil Rights Commission,,Professional,Involuntary Dismissal,Permanent (Merit),009,27,CIVIL RIGHTS SPECIALIST,02/18/2013,02/28/2013,false
13586,2013,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/18/2013,02/28/2013,false
13587,2013,"Natural Resources, Department of",,Professional,Involuntary Dismissal,Permanent (Merit),014,21,ADMIN ASSISTANT 1,02/18/2013,02/28/2013,false
13588,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Involuntary Dismissal,Probationary (Merit),014,23,CORRECTIONAL OFFICER,02/19/2013,02/28/2013,false
13589,2013,"Corrections, Department of",Clarinda,Service/Maintenance,Disability/Medical,Permanent (Merit),014,24,CORRECTIONAL FOOD SERVICE COORD,02/19/2013,02/28/2013,false
13590,2013,Iowa Veterans Home,,Technician,Voluntary Resignation,Probationary (Merit),014,16,LABORATORY ASSISTANT 2,02/19/2013,02/28/2013,false
13591,2013,Iowa Veterans Home,,Technician,Involuntary Dismissal,Probationary (Merit),014,26,LICENSED PRACTICAL NURSE,02/20/2013,02/28/2013,false
13592,2013,"Corrections, Department of",Fort Dodge,Administrative Support,Voluntary Resignation,Permanent (Merit),014,17,ACCOUNTING CLERK 2,02/21/2013,02/28/2013,false
13593,2013,"Revenue, Department of",,Professional,Retirement,Permanent (Merit),014,29,TAXPAYER SERVICE SPECIALIST,02/21/2013,02/28/2013,false
13594,2013,"Blind, Iowa Commission for the",,Professional,Retirement,Permanent (Nonmerit),000,32,REHABILITATION REFERRAL SPEC,02/22/2013,02/28/2013,false
13595,2013,"Blind, Iowa Commission for the",,Official/Administrator,Retirement,Permanent (Nonmerit),000,32,PUBLIC SERVICE EXECUTIVE 2,02/22/2013,02/28/2013,false
13596,2013,Iowa Communications Network,,Technician,Death,Permanent (Merit),014,24,ICN AUDIO-VIDEO TECHNICIAN,02/22/2013,02/28/2013,false
13597,2013,"Public Health, Department of",,Professional,Involuntary Dismissal,Permanent (Merit),000,34,CHIEF HEALTH PROFESSION INVEST,02/22/2013,02/28/2013,false
13598,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/24/2013,02/28/2013,false
13599,2013,"Education, Department of",Vocational Rehabilitation,Administrative Support,Retirement,Permanent (Merit),014,16,WORD PROCESSOR 2,02/25/2013,02/28/2013,false
13601,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/25/2013,02/28/2013,false
13600,2013,Iowa Veterans Home,,Technician,Involuntary Dismissal,Permanent (Merit),014,26,LICENSED PRACTICAL NURSE,02/25/2013,02/28/2013,false
13602,2013,Auditor of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,29,ASST AUDITOR 2,02/26/2013,02/28/2013,false
13603,2013,"Blind, Iowa Commission for the",,Professional,Involuntary Dismissal,Permanent (Nonmerit),000,32,REHABILITATION CONSULTANT,02/26/2013,02/28/2013,false
13604,2013,Iowa Workforce Development,,Professional,Voluntary Resignation,Permanent (Merit),014,21,ADMIN ASSISTANT 1,02/26/2013,02/28/2013,false
13605,2013,"Human Services, Department of",Field Operations,Professional,Disability/Medical,Permanent (Merit),009,25,SOCIAL WORKER 2,02/26/2013,02/28/2013,false
13606,2013,"Administrative Services, Department of",,Official/Administrator,Involuntary Dismissal,Permanent (Merit),014,35,EXEC OFF 3,02/27/2013,02/28/2013,false
13607,2013,"Corrections, Department of",Fort Madison,Professional,Voluntary Resignation,Permanent (Merit),014,30,REGISTERED NURSE,02/27/2013,02/28/2013,false
13608,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,02/27/2013,02/28/2013,false
13609,2013,"Blind, Iowa Commission for the",,Professional,Retirement,Permanent (Nonmerit),000,26,SVCS SPEC FOR THE BLIND 2,02/28/2013,02/28/2013,false
13610,2013,"Commerce, Department of",Alcoholic Beverages,Professional,Voluntary Resignation,Permanent (Merit),014,26,FIELD AUDITOR,02/28/2013,02/28/2013,false
13611,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Retirement,Permanent (Merit),000,27,CORRECTIONAL SUPERVISOR 1,02/28/2013,02/28/2013,false
13612,2013,"Corrections, Department of",Fort Dodge,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,02/28/2013,02/28/2013,false
13614,2013,Iowa Workforce Development,,Administrative Support,Retirement,Permanent (Merit),014,18,CLERK-SPECIALIST,02/28/2013,02/28/2013,false
13613,2013,Iowa Workforce Development,,Professional,Voluntary Resignation,Permanent (Merit),014,24,WORKFORCE ADVISOR,02/28/2013,02/28/2013,false
13615,2013,"Human Services, Department of",Field Operations,Technician,Retirement,Permanent (Merit),009,24,INCOME MAINT WORKER 2,02/28/2013,02/28/2013,false
13616,2013,"Human Services, Department of",Cherokee,Professional,Involuntary Dismissal,Permanent (Merit),014,30,REGISTERED NURSE,02/28/2013,02/28/2013,false
13617,2013,"Human Services, Department of",Woodward,Administrative Support,Retirement,Permanent (Merit),014,17,STATISTICAL ASSISTANT,02/28/2013,02/28/2013,false
13619,2013,"State Public Defender, Office of",,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,02/28/2013,02/28/2013,false
13625,2013,"Natural Resources, Department of",,Official/Administrator,Voluntary Resignation,Permanent (Merit),014,32,EXEC OFF 2,02/28/2013,02/28/2013,false
13626,2013,"Public Health, Department of",,Official/Administrator,Retirement,Permanent (Nonmerit),000,38,PUBLIC SERVICE EXECUTIVE 4,02/28/2013,02/28/2013,false
13627,2013,"Public Safety, Department of",,Protective Services - Sworn,Retirement,Permanent (Nonmerit),007,79,TROOPER 3,02/28/2013,02/28/2013,false
13628,2013,"Revenue, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,35,INFO TECH SPECIALIST 5,02/28/2013,02/28/2013,false
13629,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,02/28/2013,02/28/2013,false
13630,2013,"Commerce, Department of",Alcoholic Beverages,Service/Maintenance,Disability/Medical,Permanent (Merit),014,16+13.5%,WAREHOUSE OPERATIONS WORKER,03/01/2013,03/14/2013,false
13631,2013,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),000,27,CORRECTIONAL SUPERVISOR 1,03/01/2013,03/14/2013,false
13634,2013,"Human Services, Department of",Field Operations,Professional,Involuntary Dismissal,Permanent (Merit),009,27,SOCIAL WORKER 3,03/01/2013,03/14/2013,false
13633,2013,"Human Services, Department of",Field Operations,Administrative Support,Involuntary Dismissal,Permanent (Merit),014,19,INFO TECH SUPPORT WORKER 3,03/01/2013,03/14/2013,false
