Record Number,Fiscal Year,Department Name,Sub-Unit of Department,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year,Separation Year,Recent Layoff,Voluntary/Involuntary,Employee Status Encoded,EEO_EEO Category Name_Administrative Support,EEO_EEO Category Name_Official/Administrator,EEO_EEO Category Name_Professional,EEO_EEO Category Name_Protective Services - Sworn,EEO_EEO Category Name_Service/Maintenance,EEO_EEO Category Name_Skilled Craft,EEO_EEO Category Name_Technician,EEO_EEO Category Name_nan
17708,2016,"Corrections, Department of",Anamosa,Involuntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-07,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17710,2016,"Human Services, Department of",Independence,Voluntary Resignation,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-10-07,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17711,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-07,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17712,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-07,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17713,2016,"Corrections, Department of",Oakdale,Voluntary Resignation,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-10-08,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17714,2016,Iowa Finance Authority,Field Operations,Voluntary Resignation,Permanent (Nonmerit),014,30.0,ACCOUNTANT 3,2015-10-08,2015-10-08,False,2015,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17715,2016,"Education, Department of",Vocational Rehabilitation,Voluntary Resignation,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2015-10-08,2015-10-08,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17716,2016,Iowa Workforce Development,Field Operations,Involuntary Dismissal,Probationary (Merit),014,20.0,ACCOUNTING TECHNICIAN 2,2015-10-08,2015-10-08,False,2015,False,Involuntary,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17717,2016,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2015-10-08,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17718,2016,"Human Services, Department of",Independence,Voluntary Resignation,Permanent (Merit),014,19.0,YOUTH SERVICES WORKER,2015-10-08,2015-10-08,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17719,2016,"Human Services, Department of",Glenwood,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-08,2015-10-08,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17721,2016,Iowa Workforce Development,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,38.0,PUBLIC SERVICE EXECUTIVE 4,2015-10-09,2015-10-22,False,2015,False,Involuntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17722,2016,"Human Services, Department of",Field Operations,Death,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2015-10-09,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17723,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),000,33.0,NURSE SUPERVISOR,2015-10-09,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17725,2016,"Human Services, Department of",Independence,Disability/Medical,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-10-11,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17727,2016,Iowa Veterans Home,Field Operations,Involuntary Dismissal,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-11,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17728,2016,"Corrections, Department of",Fort Madison,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-12,2015-10-22,False,2015,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17729,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-12,2015-10-22,False,2015,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17730,2016,"Corrections, Department of",Anamosa,Involuntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-14,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17731,2016,"Corrections, Department of",Fort Dodge,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-14,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17732,2016,"Public Safety, Department of",Field Operations,Retirement,Permanent (Merit),014,27.0,COMMUNICATIONS TECHNICIAN 3,2015-10-14,2015-10-22,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17733,2016,"Human Services, Department of",Glenwood,Disability/Medical,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-15,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17734,2016,"Human Services, Department of",Woodward,Voluntary Resignation,Permanent (Merit),000,24.0,RESIDENT TREATMENT SUPERVISOR,2015-10-15,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17737,2016,"Public Safety, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,22.0,COMMUNICATIONS CENTER SPEC 2,2015-10-15,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17735,2016,"Public Safety, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,22.0,COMMUNICATIONS CENTER SPEC 2,2015-10-15,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17736,2016,"Public Safety, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,22.0,COMMUNICATIONS CENTER SPEC 2,2015-10-15,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17738,2016,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),000,26.0,FOOD SERVICES ASSISTANT DIR,2015-10-15,2015-10-22,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17739,2016,Attorney General,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,34.0,ASST ATTORNEY GENERAL 2,2015-10-16,2015-10-22,False,2015,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17740,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),000,33.0,NURSE SUPERVISOR,2015-10-16,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17741,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,10.0,RESIDENT AIDE,2015-10-16,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17742,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-17,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17743,2016,Secretary of State,Field Operations,Involuntary Dismissal,Permanent (Merit),014,18.0,CLERK-SPECIALIST,2015-10-19,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17744,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-10-19,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17745,2016,"Education, Department of",Vocational Rehabilitation,Voluntary Resignation,Probationary (Nonmerit),009,28.0,REHABILITATION COUNSELOR,2015-10-20,2015-10-22,False,2015,False,Involuntary,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17746,2016,"Human Services, Department of",Cherokee CCUSO,Involuntary Dismissal,Permanent (Merit),014,23.0,PSYCHIATRIC SECURITY SPECIALIST,2015-10-20,2015-10-22,False,2015,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17747,2016,"Corrections, Department of",Newton,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-21,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17748,2016,"Commerce, Department of",Banking Division,Retirement,Permanent (Nonmerit),000,46.0,BANK EXAM REGIONAL MNGR,2015-10-22,2015-10-22,False,2015,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17749,2016,"Commerce, Department of",Insurance Division,Voluntary Resignation,Permanent (Merit),014,26.0,INSURANCE CLAIMS INVESTIGATOR,2015-10-22,2015-10-22,False,2015,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17750,2016,"Corrections, Department of",Rockwell City,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-22,2015-10-22,False,2015,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17751,2016,Economic Development Authority,Field Operations,Involuntary Dismissal,Permanent (Nonmerit),000,33.0,ECON DEVELOPMENT SPECIALIST 3,2015-10-22,2015-10-22,False,2015,False,Involuntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17752,2016,"Human Services, Department of",Field Operations,Involuntary Dismissal,Permanent (Merit),014,20.0,ACCOUNTING TECHNICIAN 2,2015-10-22,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17753,2016,"Human Services, Department of",Eldora Training School,Retirement,Permanent (Merit),013,24.0,EDUCATOR,2015-10-22,2015-10-22,False,2015,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17756,2016,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),013,30.0,COMMUNITY HEALTH CONSULTANT,2015-10-22,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17757,2016,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,30.0,HEALTH PHYSICIST 2,2015-10-22,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17759,2016,"Public Safety, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,23.0,ACCOUNTING TECHNICIAN 3,2015-10-22,2015-10-22,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17758,2016,"Public Safety, Department of",Field Operations,Retirement,Permanent (Merit),009,32.0,CRIMINALIST,2015-10-22,2015-10-22,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17760,2016,"Revenue, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,22.0,ACCOUNTANT/AUDITOR 1,2015-10-22,2015-10-22,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17761,2016,"Administrative Services, Department of",Field Operations,Involuntary Dismissal,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2015-10-23,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17762,2016,"Human Services, Department of",Glenwood,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-23,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17763,2016,"Public Safety, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),000,31.0,CONSTRUCTION/DESIGN ENGINEER,2015-10-23,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17764,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-23,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17766,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-24,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17765,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,18.0,ACTIVITIES AIDE,2015-10-24,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17767,2016,"Corrections, Department of",Rockwell City,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-25,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17768,2016,Iowa Veterans Home,Field Operations,Death,Permanent (Merit),014,13.0,FOOD SERVICE WORKER,2015-10-26,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17769,2016,"Corrections, Department of",Fort Dodge,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-28,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17770,2016,"Education, Department of",Field Operations,Retirement,Permanent (Merit),013,29.0,LIBRARY CONSULTANT,2015-10-28,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17771,2016,"Education, Department of",Vocational Rehabilitation,Voluntary Resignation,Permanent (Merit),014,18.0,REHABILITATION ASSISTANT,2015-10-28,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17772,2016,"Human Services, Department of",Cherokee,Involuntary Dismissal,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-10-28,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17773,2016,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,13.0,FOOD SERVICE WORKER,2015-10-28,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17776,2016,"Corrections, Department of",Anamosa,Involuntary Dismissal,Probationary (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-29,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17774,2016,"Corrections, Department of",Anamosa,Retirement,Permanent (Merit),009,28.0,CORRECTIONAL COUNSELOR,2015-10-29,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17775,2016,"Corrections, Department of",Anamosa,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-10-29,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17777,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-10-29,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17778,2016,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),014,25.0,SOCIAL WORKER 2,2015-10-29,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17779,2016,"Revenue, Department of",Field Operations,Involuntary Dismissal,Probationary (Merit),014,22.0,ACCOUNTANT/AUDITOR 1,2015-10-29,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17780,2016,Auditor of State,Field Operations,Retirement,Permanent (Nonmerit),000,29.0,EXEC OFF 1,2015-10-30,2015-11-05,False,2015,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17781,2016,"Commerce, Department of",Utilities Division,Retirement,Permanent (Merit),014,26.0,ACCOUNTANT 2,2015-10-30,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17782,2016,"Corrections, Department of",Oakdale,Voluntary Resignation,Probationary (Merit),014,30.0,REGISTERED NURSE,2015-10-30,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17783,2016,"Corrections, Department of",Prison Industries,Retirement,Permanent (Merit),000,30.0,STATE INDUSTRIES SUPERVISOR,2015-10-30,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17785,2016,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,27.0,SOCIAL WORKER 3,2015-10-30,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17786,2016,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),009,24.0,CHILD SUPPORT RECOVERY OFFICER,2015-10-30,2015-11-05,False,2015,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17784,2016,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2015-10-30,2015-11-05,False,2015,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17787,2016,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),000,34.0,TREATMENT PROGRAM ADMIN,2015-10-30,2015-11-05,False,2015,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17790,2016,"Veterans Affairs, Department of",Field Operations,Retirement,Permanent (Merit),014,21.0,ADMIN ASSISTANT 1,2015-10-30,2015-11-05,False,2015,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17791,2016,"Human Services, Department of",Cherokee,Voluntary Resignation,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-11-01,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17792,2016,"Human Services, Department of",Independence,Retirement,Permanent (Merit),014,14.0,RECEPTIONIST,2015-11-01,2015-11-05,False,2015,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17794,2016,"Corrections, Department of",Anamosa,Involuntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17793,2016,"Corrections, Department of",Anamosa,Involuntary Dismissal,Permanent (Merit),000,33.0,NURSE SUPERVISOR,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17795,2016,"Education, Department of",Field Operations,Retirement,Permanent (Merit),014,18.0,CLERK-SPECIALIST,2015-11-02,2015-11-05,False,2015,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17796,2016,Iowa Workforce Development,Field Operations,Voluntary Resignation,Permanent (Merit),000,30.0,WORKFORCE DEVELOPMENT MANAGER,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17797,2016,"Human Services, Department of",General Administration,Voluntary Resignation,Permanent (Merit),009,30.0,SOCIAL WORKER 6,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17798,2016,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),014,26.0,PROGRAM PLANNER 2,2015-11-02,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17799,2016,"Human Services, Department of",Woodward,Voluntary Resignation,Permanent (Merit),014,13.0,FOOD SERVICE WORKER,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17801,2016,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,29.0,HEALTH PROFESSIONS INVEST,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17803,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,13.0,FOOD SERVICE WORKER,2015-11-02,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17802,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Probationary (Merit),014,13.0,FOOD SERVICE WORKER,2015-11-02,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17804,2016,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,18.0,CLERK-SPECIALIST,2015-11-03,2015-11-05,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17805,2016,Economic Development Authority,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,32.0,INFO TECH SPECIALIST 4,2015-11-05,2015-11-05,False,2015,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17806,2016,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2015-11-05,2015-11-05,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17807,2016,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,30.0,REGISTERED NURSE,2015-11-05,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17808,2016,"Human Services, Department of",Woodward,Voluntary Resignation,Permanent (Merit),014,25.0,SOCIAL WORKER 2,2015-11-05,2015-11-05,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17809,2016,"Public Defense, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,18.0,CLERK-SPECIALIST,2015-11-05,2015-11-05,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17810,2016,Iowa Veterans Home,Field Operations,Voluntary Resignation,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-11-05,2015-11-05,False,2015,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17811,2016,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-11-05,2015-11-05,False,2015,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17812,2016,"Human Services, Department of",Field Operations,Involuntary Dismissal,Probationary (Merit),009,24.0,INCOME MAINT WORKER 2,2015-11-06,2015-11-19,False,2015,False,Involuntary,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17813,2016,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2015-11-06,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17814,2016,Iowa Lottery Authority,Field Operations,Voluntary Resignation,Permanent (Nonmerit),025,0.0,LOTTERY SENIOR PROJECT DIRECTOR,2015-11-06,2015-11-19,False,2015,False,Involuntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17815,2016,"Human Services, Department of",Glenwood,Abandoned Job,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-11-07,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17816,2016,"Corrections, Department of",Oakdale,Involuntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-11-09,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17817,2016,Iowa Workforce Development,Field Operations,Involuntary Dismissal,Permanent (Merit),014,24.0,WORKFORCE ADVISOR,2015-11-09,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17818,2016,"Corrections, Department of",Anamosa,Disability/Medical,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-11-10,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17819,2016,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,17.0,ACCOUNTING CLERK 2,2015-11-10,2015-11-19,False,2015,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17821,2016,"Human Services, Department of",Glenwood,Abandoned Job,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-11-10,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17820,2016,"Human Services, Department of",Glenwood,Involuntary Dismissal,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2015-11-10,2015-11-19,False,2015,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17822,2016,"Natural Resources, Department of",Field Operations,Death,Permanent (Merit),000,35.0,PUBLIC SERVICE EXECUTIVE 3,2015-11-10,2015-11-19,False,2015,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17823,2016,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,29.0,PROGRAM PLANNER 3,2015-11-10,2015-11-19,False,2015,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17824,2016,"Corrections, Department of",Mitchellville,Voluntary Resignation,Probationary (Merit),014,30.0,REGISTERED NURSE,2015-11-11,2015-11-19,False,2015,False,Involuntary,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17825,2016,"Public Safety, Department of",Field Operations,Retirement,Permanent (Nonmerit),007,79.0,TROOPER 3,2015-11-11,2015-11-19,False,2015,False,Voluntary,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17826,2016,"Corrections, Department of",Fort Madison,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-11-12,2015-11-19,False,2015,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17827,2016,"Corrections, Department of",Clarinda,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2015-11-12,2015-11-19,False,2015,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
